label,nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
glute_bridge_down,71.57093,157.70874,-1.7913597,61.074837,163.16237,5.7402925,61.05513,163.70825,5.646257,61.02347,164.3611,5.593078,61.015842,165.24297,-16.413546,60.999104,167.30533,-16.424181,60.996857,169.61385,-16.47758,65.54122,176.20366,50.328316,65.137344,182.75377,-48.138382,82.30216,160.44765,17.04566,82.092354,163.56142,-11.44221,126.06014,182.3074,108.9876,116.17979,207.6097,-104.09974,198.91437,196.96318,157.64424,190.06943,243.31755,-140.12154,256.20868,196.91925,163.26877,265.0122,268.19592,-162.00755,273.2012,195.32982,163.61728,288.46518,281.50027,-181.55597,274.96405,196.79485,144.10454,292.2983,273.6086,-183.48126,275.2956,196.23503,153.95116,284.93405,266.7033,-162.41167,268.12915,169.41199,62.760937,270.7663,186.48557,-62.598442,355.36832,102.172485,25.214985,369.5952,110.02191,-87.78417,387.83688,179.43661,119.86264,413.28006,203.20157,-32.46153,376.97995,202.82068,127.44701,407.73282,223.73878,-27.005392,440.23172,205.85239,115.73922,459.1902,220.59335,-47.47098
glute_bridge_up,1492.8124,1213.303,144.86812,1516.3721,1231.0018,94.321594,1516.6692,1237.8164,94.45232,1517.2546,1245.3618,94.31987,1515.7777,1222.5402,177.00131,1515.7219,1222.765,177.1095,1515.6274,1223.2249,177.09097,1508.1407,1293.9656,-42.573013,1508.387,1262.3013,331.97076,1462.3895,1229.5842,104.59367,1463.2399,1219.6316,212.04681,1359.5023,1346.1163,-261.33768,1340.2029,1282.2499,528.0752,1101.1603,1376.1431,-289.77295,1107.6838,1300.0879,634.86426,883.58246,1382.9675,-268.01794,895.95953,1334.0573,621.72473,819.3557,1391.3658,-327.6034,846.5015,1330.1013,641.10016,826.7548,1365.0103,-304.1177,839.0528,1331.1923,592.0351,845.99994,1359.5857,-253.91254,858.72327,1331.8123,596.8118,961.1252,1115.5957,-256.19064,976.1903,1080.1288,255.62111,574.0695,940.8214,-485.1477,609.45874,935.0097,147.66779,579.69696,1340.6827,-132.09546,588.18567,1279.3301,494.07422,609.0219,1403.8684,-95.60605,589.71094,1312.3998,525.5732,421.23224,1400.9803,-129.42583,420.242,1328.7386,444.7622
glute_bridge_down,381.7862,172.254,19.24245,391.68988,180.40102,2.406886,391.82343,182.6197,2.3974564,392.0231,185.18773,2.4014568,391.86612,178.0887,27.44586,391.99557,178.31062,27.442944,392.2043,178.54816,27.313345,387.86224,201.14795,-33.832367,388.3903,192.7854,75.37985,371.09073,176.48326,7.410016,371.07135,173.39148,39.52399,331.86072,232.86906,-105.19518,315.65848,198.91466,144.1105,247.33662,258.0533,-148.00177,233.20296,214.52023,185.3742,165.52829,260.42587,-162.29099,168.48863,209.43065,156.16655,135.66653,272.09546,-185.91458,148.54155,206.00891,157.50407,133.7727,260.4674,-177.41434,148.30682,205.28647,130.87306,141.26802,254.10994,-157.55989,153.56847,210.39142,143.96094,161.96397,221.47813,-78.21599,160.50029,193.79553,78.17349,109.108864,96.763084,-107.36923,119.35376,90.37434,27.39038,67.73915,221.5647,-44.09454,73.9858,199.4407,111.0173,73.01582,244.60153,-38.317757,82.316605,223.90344,117.696594,7.0118127,243.68057,-45.651737,27.719206,225.36635,113.18036
glute_bridge_down,371.02954,142.32365,22.007988,377.52036,148.40544,8.701687,377.38528,149.75993,8.683881,377.23206,151.14285,8.649401,377.72122,147.03249,31.564255,377.68045,147.34416,31.596085,377.66647,147.64146,31.506945,371.1572,162.59328,-22.383999,372.13803,158.20038,77.65091,362.40353,143.83879,11.412537,362.7226,142.52766,40.7156,327.68646,183.35,-92.821045,317.26132,152.89143,140.47699,268.94113,208.51524,-154.14073,258.60364,162.43867,181.7316,207.87386,219.36739,-185.12416,206.73956,163.68587,164.91362,187.58348,227.77121,-208.04944,192.32549,162.32387,169.67038,185.05907,220.543,-201.46638,192.6387,164.85779,150.41644,191.20721,215.23012,-181.68584,198.8364,165.82092,155.91214,200.95427,175.7224,-72.36158,198.92036,154.74303,72.28757,152.25313,77.98572,-100.074,151.04929,72.33142,39.036564,107.75786,157.73859,-20.908587,108.11248,147.89453,118.89983,111.87465,178.13646,-11.382127,110.120705,165.96872,126.13972,61.052544,172.36755,-9.363439,61.398907,164.31009,116.9963
glute_bridge_up,1022.669,297.81638,74.103195,1038.9712,307.30923,52.54318,1040.2334,311.36362,52.46439,1041.354,315.9812,52.328648,1036.7065,301.21173,93.35845,1036.3342,300.92325,93.434,1036.0778,300.7906,93.27132,1033.4225,345.2229,13.707645,1030.8643,323.0953,197.25754,1005.7532,310.2782,64.35723,1003.61694,302.41873,117.58271,972.6496,396.2764,-102.89985,924.62573,315.04413,313.95856,854.4531,472.25916,-175.94576,795.60767,340.4069,374.39233,725.0208,503.29294,-231.76933,688.52716,319.58038,328.64056,681.6603,525.5072,-267.01855,655.3074,312.962,330.08514,675.88776,509.01978,-265.02554,654.2419,312.02264,287.16605,689.3451,497.03067,-228.40567,667.1817,317.25485,306.9942,696.48096,361.8818,-130.57709,690.2268,296.99506,130.2479,479.39355,247.59634,-277.82535,483.38834,180.52968,11.277881,456.73676,455.87186,-69.521164,436.77628,376.5573,192.70348,477.56866,489.21432,-48.231754,439.8726,413.29266,209.10654,348.43488,498.1528,-79.53327,341.1456,408.05606,176.16118
glute_bridge_down,86.06234,185.91835,48.989105,81.56845,190.66342,58.967857,81.93574,190.84866,58.9207,82.30797,191.00555,58.881157,81.29429,192.60077,39.229855,81.50981,194.2687,39.21354,81.79578,196.0165,39.128883,86.99907,197.25227,108.5479,86.971,204.52678,19.924524,93.967476,185.74957,68.9895,93.494896,188.10094,43.265427,141.14531,194.35101,183.12827,119.064896,222.59589,-61.475967,198.91226,207.97618,244.67578,175.24246,244.03426,-138.40822,249.26315,215.52165,236.47893,230.46024,255.94858,-196.28616,265.74185,217.69656,240.90971,249.22792,264.24817,-220.65561,266.99323,218.00539,222.51268,253.03206,258.09528,-216.88557,256.88922,220.7311,227.82451,247.74382,253.92615,-195.26889,249.82567,210.69496,82.763435,237.05699,223.43385,-82.89638,313.78445,134.68192,36.33397,301.11362,140.07544,-104.03569,358.61304,216.90564,108.001144,349.91455,228.37852,-31.80413,358.33768,236.89975,113.49726,341.35907,246.11644,-23.40312,398.30698,230.47852,91.91671,393.362,243.24178,-34.85795
glute_bridge_up,1077.1406,302.20114,95.0526,1099.0962,313.57333,61.834908,1100.2765,317.56516,61.83023,1101.4141,322.5571,61.731964,1097.0997,308.80325,114.3822,1096.9247,308.98267,114.45064,1096.8733,309.2079,114.29567,1094.2849,356.66638,-3.8337014,1090.5142,334.11942,230.63637,1058.6172,313.91644,79.07172,1056.9847,307.13034,146.81302,1019.6632,416.42288,-138.33551,965.98145,335.3328,363.06888,850.3836,489.99677,-212.54951,801.4812,374.98776,435.6706,690.0742,512.0022,-287.2561,650.07043,365.50488,401.49286,636.5504,539.3997,-334.63306,605.9944,365.24002,400.95645,628.31445,520.099,-319.09106,605.6051,374.9623,355.7521,649.6091,505.1691,-278.43127,618.81055,379.97256,379.88922,661.8757,311.5558,-167.29948,666.86426,251.11526,166.97745,388.55118,169.62119,-318.43793,405.50317,129.52872,22.672153,356.2873,445.3723,-133.25488,362.23456,385.8705,244.33167,380.3672,494.56287,-115.02899,385.56696,438.81686,264.19257,211.78226,497.05783,-157.13339,243.00107,426.9059,217.77118
glute_bridge_down,3160.8606,984.1492,302.69766,3227.4863,1007.62244,184.3301,3229.3389,1016.6859,184.40251,3231.2917,1026.683,184.43321,3227.2087,1005.482,362.32858,3228.984,1011.97516,362.49716,3231.231,1019.26495,361.81436,3215.6843,1122.9347,-95.00574,3218.0566,1107.476,670.41003,3090.4387,1012.95825,213.33429,3087.1567,1008.8665,438.83804,2919.822,1242.288,-685.3295,2789.4075,1146.6951,1154.4996,2435.8147,1458.3367,-1127.6816,2219.6177,1286.7776,1322.4237,1841.6172,1449.1731,-1233.3042,1615.0786,1293.8256,1214.3293,1679.3254,1503.3344,-1397.0293,1532.0491,1286.5753,1242.4978,1658.0643,1470.5635,-1290.9364,1418.3861,1315.0568,1097.2567,1709.6956,1440.7561,-1180.561,1489.3325,1323.6366,1145.628,1764.0234,1241.4612,-610.53656,1736.9725,1144.5057,610.2781,1237.4722,434.41464,-675.51587,1223.8141,423.34177,301.285,947.3204,1249.8514,-325.88193,961.6722,1170.9388,999.72253,1011.1979,1413.8241,-299.56485,1040.3171,1341.7688,1050.3749,501.3056,1442.3735,-418.0383,606.9747,1372.1318,976.5463
glute_bridge_up,101.04149,302.38428,228.57849,92.540344,308.46912,243.2447,92.66383,309.42355,243.24551,92.838715,310.619,243.19534,92.12023,309.83838,215.94696,91.95555,311.69058,215.89583,91.80567,313.83008,215.87103,97.08055,324.98425,297.4566,94.98245,327.571,172.01154,110.27513,305.58817,248.91563,109.821175,307.28122,212.79225,162.18312,324.27515,321.43274,130.67218,349.05206,63.21118,251.16931,331.7733,328.8606,190.38562,364.6364,-115.916954,321.81882,332.3234,286.90958,242.23055,379.2616,-284.88483,346.7407,332.81616,284.3483,261.89917,389.85303,-314.83295,349.30145,332.22806,270.977,263.52277,386.22284,-305.82587,338.8996,332.4722,278.359,257.68552,380.60352,-283.20822,280.29764,277.62152,90.414444,263.92456,278.6988,-90.63427,390.0506,199.1947,35.03418,385.22253,206.74875,-178.89613,424.59125,332.1285,86.68249,423.33765,341.9775,-144.58026,415.96088,353.9182,91.93549,414.87317,363.53522,-138.75893,474.28094,345.62112,88.92655,478.17807,356.98773,-142.02391
glute_bridge_up,921.6083,249.37044,265.15036,939.8208,257.73312,257.326,941.6653,261.73962,257.27356,943.63306,266.08423,257.07013,936.45264,252.07565,294.20187,935.6656,251.96931,294.35748,935.1373,251.91052,294.3178,943.3237,289.15393,256.77692,934.0494,268.58566,423.5785,910.81903,260.22556,265.9128,906.8502,254.97504,313.91904,913.54016,340.65756,111.09296,825.72375,282.90512,471.5059,807.723,410.2601,-41.82856,667.32434,324.6339,475.01285,679.46747,453.3416,-232.9104,548.53064,321.1788,417.80878,636.3888,483.83533,-279.8237,515.05664,322.20975,402.53467,629.3133,465.96902,-271.72772,508.19672,326.33838,366.82812,645.9295,450.53598,-230.79153,522.10516,328.37125,398.8893,637.424,280.4835,-132.44421,589.2717,254.17366,132.03398,363.11768,148.17906,-287.12994,351.08414,125.22724,-35.771248,333.37784,414.82822,-191.84894,301.58118,384.08057,139.97833,354.45877,476.0625,-178.00162,316.66772,427.67447,153.80705,221.88718,467.4197,-247.78929,190.48291,431.2024,69.474846
